"Step","4l4h32-agtt-shortest-path (path) - train/acc","4l4h32-agtt-shortest-path (path) - train/acc__MIN","4l4h32-agtt-shortest-path (path) - train/acc__MAX","4l4h32-agtt-shortest-path (path) - val/acc","4l4h32-agtt-shortest-path (path) - val/acc__MIN","4l4h32-agtt-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/acc","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/acc","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MAX","2l4h16-ibtt-shortest-path (path) - train/acc","2l4h16-ibtt-shortest-path (path) - train/acc__MIN","2l4h16-ibtt-shortest-path (path) - train/acc__MAX","2l4h16-ibtt-shortest-path (path) - val/acc","2l4h16-ibtt-shortest-path (path) - val/acc__MIN","2l4h16-ibtt-shortest-path (path) - val/acc__MAX"
"1","0.1192157451923077","0.1192157451923077","0.1192157451923077","0.1015625","0.1015625","0.1015625","","","","","","","","","","","","","0.11339285714285714","0.11339285714285714","0.11339285714285714","0.13341346153846154","0.13341346153846154","0.13341346153846154"
"2","0.14107572115384615","0.14107572115384615","0.14107572115384615","0.12913161057692307","0.12913161057692307","0.12913161057692307","0.2648389862804878","0.2648389862804878","0.2648389862804878","0.278896233974359","0.278896233974359","0.278896233974359","0.08125317581300813","0.08125317581300813","0.08125317581300813","0.12299679487179487","0.12299679487179487","0.12299679487179487","0.14151785714285714","0.14151785714285714","0.14151785714285714","0.1310096153846154","0.1310096153846154","0.1310096153846154"
"3","0.1466346153846154","0.1466346153846154","0.1466346153846154","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.3634717987804878","0.3634717987804878","0.3634717987804878","0.4437099358974359","0.4437099358974359","0.4437099358974359","0.17878239329268295","0.17878239329268295","0.17878239329268295","0.2886868990384615","0.2886868990384615","0.2886868990384615","0.14992559523809523","0.14992559523809523","0.14992559523809523","0.13822115384615385","0.13822115384615385","0.13822115384615385"
"4","0.14716045673076922","0.14716045673076922","0.14716045673076922","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.4409457571138211","0.4409457571138211","0.4409457571138211","0.5103916266025641","0.5103916266025641","0.5103916266025641","0.31834349593495936","0.31834349593495936","0.31834349593495936","0.3384915865384615","0.3384915865384615","0.3384915865384615","0.1566220238095238","0.1566220238095238","0.1566220238095238","0.13822115384615385","0.13822115384615385","0.13822115384615385"
"5","0.1436298076923077","0.1436298076923077","0.1436298076923077","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.5099482342479674","0.5099482342479674","0.5099482342479674","0.5588691907051282","0.5588691907051282","0.5588691907051282","0.4911077235772358","0.4911077235772358","0.4911077235772358","0.4792417868589744","0.4792417868589744","0.4792417868589744","0.16145833333333334","0.16145833333333334","0.16145833333333334","0.14182692307692307","0.14182692307692307","0.14182692307692307"
"6","0.14723557692307693","0.14723557692307693","0.14723557692307693","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.5583714430894309","0.5583714430894309","0.5583714430894309","0.5874899839743589","0.5874899839743589","0.5874899839743589","0.6067787728658537","0.6067787728658537","0.6067787728658537","0.5508563701923077","0.5508563701923077","0.5508563701923077","0.18400297619047618","0.18400297619047618","0.18400297619047618","0.17728365384615385","0.17728365384615385","0.17728365384615385"
"7","0.14505709134615385","0.14505709134615385","0.14505709134615385","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.5894944105691057","0.5894944105691057","0.5894944105691057","0.6288311298076923","0.6288311298076923","0.6288311298076923","0.6744077108739838","0.6744077108739838","0.6744077108739838","0.4542267628205128","0.4542267628205128","0.4542267628205128","0.21450892857142856","0.21450892857142856","0.21450892857142856","0.2013221153846154","0.2013221153846154","0.2013221153846154"
"8","0.1483623798076923","0.1483623798076923","0.1483623798076923","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.6124872967479674","0.6124872967479674","0.6124872967479674","0.6424779647435898","0.6424779647435898","0.6424779647435898","0.6963763973577235","0.6963763973577235","0.6963763973577235","0.6878004807692308","0.6878004807692308","0.6878004807692308","0.24188988095238095","0.24188988095238095","0.24188988095238095","0.22956730769230768","0.22956730769230768","0.22956730769230768"
"9","0.14708533653846154","0.14708533653846154","0.14708533653846154","0.13596754807692307","0.13596754807692307","0.13596754807692307","0.6273739202235772","0.6273739202235772","0.6273739202235772","0.6620092147435898","0.6620092147435898","0.6620092147435898","0.6978928480691057","0.6978928480691057","0.6978928480691057","0.6315354567307693","0.6315354567307693","0.6315354567307693","0.24494047619047618","0.24494047619047618","0.24494047619047618","0.24519230769230768","0.24519230769230768","0.24519230769230768"
"10","0.1515174278846154","0.1515174278846154","0.1515174278846154","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.6482469512195123","0.6482469512195123","0.6482469512195123","0.6217197516025641","0.6217197516025641","0.6217197516025641","0.7060229293699187","0.7060229293699187","0.7060229293699187","0.6849208733974358","0.6849208733974358","0.6849208733974358","0.2681547619047619","0.2681547619047619","0.2681547619047619","0.2566105769230769","0.2566105769230769","0.2566105769230769"
