"Step","4l4h32-agtt-shortest-path (path) - train/f1","4l4h32-agtt-shortest-path (path) - train/f1__MIN","4l4h32-agtt-shortest-path (path) - train/f1__MAX","4l4h32-agtt-shortest-path (path) - val/f1","4l4h32-agtt-shortest-path (path) - val/f1__MIN","4l4h32-agtt-shortest-path (path) - val/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/f1","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/f1","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/f1","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/f1","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MAX","2l4h16-ibtt-shortest-path (path) - train/f1","2l4h16-ibtt-shortest-path (path) - train/f1__MIN","2l4h16-ibtt-shortest-path (path) - train/f1__MAX","2l4h16-ibtt-shortest-path (path) - val/f1","2l4h16-ibtt-shortest-path (path) - val/f1__MIN","2l4h16-ibtt-shortest-path (path) - val/f1__MAX"
"1","0.02683353762511945","0.02683353762511945","0.02683353762511945","0.021511997719829215","0.021511997719829215","0.021511997719829215","","","","","","","","","","","","","0.03509505261554767","0.03509505261554767","0.03509505261554767","0.03524810707598999","0.03524810707598999","0.03524810707598999"
"2","0.03639729765077933","0.03639729765077933","0.03639729765077933","0.028090067009351374","0.028090067009351374","0.028090067009351374","0.08293603383541036","0.08293603383541036","0.08293603383541036","0.14213213270678537","0.14213213270678537","0.14213213270678537","0.045449350360879215","0.045449350360879215","0.045449350360879215","0.03608068056403845","0.03608068056403845","0.03608068056403845","0.034075545200569435","0.034075545200569435","0.034075545200569435","0.028016363007841934","0.028016363007841934","0.028016363007841934"
"3","0.02173692311517869","0.02173692311517869","0.02173692311517869","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.0914521226198647","0.0914521226198647","0.0914521226198647","0.19965501585964737","0.19965501585964737","0.19965501585964737","0.06720126105016737","0.06720126105016737","0.06720126105016737","0.11428856394966586","0.11428856394966586","0.11428856394966586","0.030841492569894546","0.030841492569894546","0.030841492569894546","0.03507073399499168","0.03507073399499168","0.03507073399499168"
"4","0.01669588229259971","0.01669588229259971","0.01669588229259971","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.10917050534633498","0.10917050534633498","0.10917050534633498","0.2477341194148265","0.2477341194148265","0.2477341194148265","0.09267691928669675","0.09267691928669675","0.09267691928669675","0.1657092978032239","0.1657092978032239","0.1657092978032239","0.04611507347126021","0.04611507347126021","0.04611507347126021","0.037562973124328033","0.037562973124328033","0.037562973124328033"
"5","0.017441813451682737","0.017441813451682737","0.017441813451682737","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.1378543026518597","0.1378543026518597","0.1378543026518597","0.2889744332901689","0.2889744332901689","0.2889744332901689","0.14279350845542468","0.14279350845542468","0.14279350845542468","0.23066716898950324","0.23066716898950324","0.23066716898950324","0.049091658501362295","0.049091658501362295","0.049091658501362295","0.04549221927889771","0.04549221927889771","0.04549221927889771"
"6","0.020719350356578882","0.020719350356578882","0.020719350356578882","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.165752158480489","0.165752158480489","0.165752158480489","0.31378089659552894","0.31378089659552894","0.31378089659552894","0.18011176382667982","0.18011176382667982","0.18011176382667982","0.30528980258848165","0.30528980258848165","0.30528980258848165","0.07695633817572507","0.07695633817572507","0.07695633817572507","0.0813942655978592","0.0813942655978592","0.0813942655978592"
"7","0.017353558056479267","0.017353558056479267","0.017353558056479267","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.17916008956974658","0.17916008956974658","0.17916008956974658","0.34772911139810553","0.34772911139810553","0.34772911139810553","0.18928575411284343","0.18928575411284343","0.18928575411284343","0.2080236629824286","0.2080236629824286","0.2080236629824286","0.10473685386587507","0.10473685386587507","0.10473685386587507","0.11184132993967413","0.11184132993967413","0.11184132993967413"
"8","0.01786458315735218","0.01786458315735218","0.01786458315735218","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.19878138977161428","0.19878138977161428","0.19878138977161428","0.3566696127508808","0.3566696127508808","0.3566696127508808","0.21428466562929108","0.21428466562929108","0.21428466562929108","0.4268078253106052","0.4268078253106052","0.4268078253106052","0.13179440836410936","0.13179440836410936","0.13179440836410936","0.14690605850597874","0.14690605850597874","0.14690605850597874"
"9","0.026674448306027644","0.026674448306027644","0.026674448306027644","0.019446084628947716","0.019446084628947716","0.019446084628947716","0.20379067881797785","0.20379067881797785","0.20379067881797785","0.3740595351060724","0.3740595351060724","0.3740595351060724","0.21932562461740943","0.21932562461740943","0.21932562461740943","0.3343305551150629","0.3343305551150629","0.3343305551150629","0.14559932383107882","0.14559932383107882","0.14559932383107882","0.17156890411017137","0.17156890411017137","0.17156890411017137"
"10","0.02467938425354594","0.02467938425354594","0.02467938425354594","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.2244758254902446","0.2244758254902446","0.2244758254902446","0.346143719735961","0.346143719735961","0.346143719735961","0.22242023771506092","0.22242023771506092","0.22242023771506092","0.39506819375754637","0.39506819375754637","0.39506819375754637","0.15870575362964745","0.15870575362964745","0.15870575362964745","0.1729230091450584","0.1729230091450584","0.1729230091450584"
