"Step","4l4h32-agtt-shortest-path (path) - train/loss","4l4h32-agtt-shortest-path (path) - train/loss__MIN","4l4h32-agtt-shortest-path (path) - train/loss__MAX","4l4h32-agtt-shortest-path (path) - val/loss","4l4h32-agtt-shortest-path (path) - val/loss__MIN","4l4h32-agtt-shortest-path (path) - val/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/loss","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/loss","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/loss","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/loss","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MAX","2l4h16-ibtt-shortest-path (path) - train/loss","2l4h16-ibtt-shortest-path (path) - train/loss__MIN","2l4h16-ibtt-shortest-path (path) - train/loss__MAX","2l4h16-ibtt-shortest-path (path) - val/loss","2l4h16-ibtt-shortest-path (path) - val/loss__MIN","2l4h16-ibtt-shortest-path (path) - val/loss__MAX"
"1","2.783124715089798","2.783124715089798","2.783124715089798","2.6955747604370117","2.6955747604370117","2.6955747604370117","","","","","","","","","","","","","2.7849715868632","2.7849715868632","2.7849715868632","2.64187504695012","2.64187504695012","2.64187504695012"
"2","2.669960916042328","2.669960916042328","2.669960916042328","2.6265350580215454","2.6265350580215454","2.6265350580215454","2.474883278210958","2.474883278210958","2.474883278210958","2.3154024332761765","2.3154024332761765","2.3154024332761765","2.913772096236547","2.913772096236547","2.913772096236547","2.890629678964615","2.890629678964615","2.890629678964615","2.5712226549784343","2.5712226549784343","2.5712226549784343","2.5618290717785177","2.5618290717785177","2.5618290717785177"
"3","2.59859561920166","2.59859561920166","2.59859561920166","2.597281575202942","2.597281575202942","2.597281575202942","1.866807460784912","1.866807460784912","1.866807460784912","1.7197414015730221","1.7197414015730221","1.7197414015730221","2.8177298406759896","2.8177298406759896","2.8177298406759896","2.6082371373971305","2.6082371373971305","2.6082371373971305","2.5010347525278727","2.5010347525278727","2.5010347525278727","2.50801367026109","2.50801367026109","2.50801367026109"
"4","2.5797935724258423","2.5797935724258423","2.5797935724258423","2.577428489923477","2.577428489923477","2.577428489923477","1.599747637907664","1.599747637907664","1.599747637907664","1.531399001677831","1.531399001677831","1.531399001677831","2.6193149089813232","2.6193149089813232","2.6193149089813232","2.3978218684593835","2.3978218684593835","2.3978218684593835","2.435936752955119","2.435936752955119","2.435936752955119","2.441134966336764","2.441134966336764","2.441134966336764"
"5","2.5821528136730194","2.5821528136730194","2.5821528136730194","2.565949022769928","2.565949022769928","2.565949022769928","1.4649441440900166","1.4649441440900166","1.4649441440900166","1.3939066727956135","1.3939066727956135","1.3939066727956135","2.08057102560997","2.08057102560997","2.08057102560997","2.2389345367749534","2.2389345367749534","2.2389345367749534","2.374842659632365","2.374842659632365","2.374842659632365","2.3761916710780215","2.3761916710780215","2.3761916710780215"
"6","2.5656758844852448","2.5656758844852448","2.5656758844852448","2.5558571219444275","2.5558571219444275","2.5558571219444275","1.3609760950009029","1.3609760950009029","1.3609760950009029","1.317530835668246","1.317530835668246","1.317530835668246","1.4199216688672702","1.4199216688672702","1.4199216688672702","1.5710753003756206","1.5710753003756206","1.5710753003756206","2.2993123054504396","2.2993123054504396","2.2993123054504396","2.3073320938990665","2.3073320938990665","2.3073320938990665"
"7","2.5573969185352325","2.5573969185352325","2.5573969185352325","2.557283490896225","2.557283490896225","2.557283490896225","1.276957834760348","1.276957834760348","1.276957834760348","1.223040667672952","1.223040667672952","1.223040667672952","1.0829989835619926","1.0829989835619926","1.0829989835619926","1.7775954579313595","1.7775954579313595","1.7775954579313595","2.227003637949626","2.227003637949626","2.227003637949626","2.2348782466008115","2.2348782466008115","2.2348782466008115"
"8","2.5443151593208313","2.5443151593208313","2.5443151593208313","2.5439264476299286","2.5439264476299286","2.5439264476299286","1.214668984214465","1.214668984214465","1.214668984214465","1.1837208345532417","1.1837208345532417","1.1837208345532417","0.9224082653721174","0.9224082653721174","0.9224082653721174","1.0239526107907295","1.0239526107907295","1.0239526107907295","2.160224103927612","2.160224103927612","2.160224103927612","2.1704421043395996","2.1704421043395996","2.1704421043395996"
"9","2.5466346740722656","2.5466346740722656","2.5466346740722656","2.539365291595459","2.539365291595459","2.539365291595459","1.154181311527888","1.154181311527888","1.154181311527888","1.141308714946111","1.141308714946111","1.141308714946111","0.9012687479456266","0.9012687479456266","0.9012687479456266","1.153957864890496","1.153957864890496","1.153957864890496","2.08941756884257","2.08941756884257","2.08941756884257","2.1161921391120324","2.1161921391120324","2.1161921391120324"
"10","2.541022837162018","2.541022837162018","2.541022837162018","2.5325098037719727","2.5325098037719727","2.5325098037719727","1.0967381596565247","1.0967381596565247","1.0967381596565247","1.1350884387890499","1.1350884387890499","1.1350884387890499","0.8522137328982353","0.8522137328982353","0.8522137328982353","0.9829108218352","0.9829108218352","0.9829108218352","2.043538538614909","2.043538538614909","2.043538538614909","2.070509121968196","2.070509121968196","2.070509121968196"
