"Step","5l64-mpnn-shortest-path (path) - train/acc","5l64-mpnn-shortest-path (path) - train/acc__MIN","5l64-mpnn-shortest-path (path) - train/acc__MAX","5l64-mpnn-shortest-path (path) - val/acc","5l64-mpnn-shortest-path (path) - val/acc__MIN","5l64-mpnn-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX"
"2","0.1915564903846154","0.1915564903846154","0.1915564903846154","0.12935697115384615","0.12935697115384615","0.12935697115384615","0.2648389862804878","0.2648389862804878","0.2648389862804878","0.278896233974359","0.278896233974359","0.278896233974359"
"3","0.26795372596153844","0.26795372596153844","0.26795372596153844","0.12935697115384615","0.12935697115384615","0.12935697115384615","0.3634717987804878","0.3634717987804878","0.3634717987804878","0.4437099358974359","0.4437099358974359","0.4437099358974359"
"4","0.2937199519230769","0.2937199519230769","0.2937199519230769","0.14295372596153846","0.14295372596153846","0.14295372596153846","0.4409457571138211","0.4409457571138211","0.4409457571138211","0.5103916266025641","0.5103916266025641","0.5103916266025641"
"5","0.38829627403846156","0.38829627403846156","0.38829627403846156","0.2801231971153846","0.2801231971153846","0.2801231971153846","0.5099482342479674","0.5099482342479674","0.5099482342479674","0.5588691907051282","0.5588691907051282","0.5588691907051282"
"6","0.4528245192307692","0.4528245192307692","0.4528245192307692","0.44966947115384615","0.44966947115384615","0.44966947115384615","0.5583714430894309","0.5583714430894309","0.5583714430894309","0.5874899839743589","0.5874899839743589","0.5874899839743589"
"7","0.4948167067307692","0.4948167067307692","0.4948167067307692","0.5359825721153846","0.5359825721153846","0.5359825721153846","0.5894944105691057","0.5894944105691057","0.5894944105691057","0.6288311298076923","0.6288311298076923","0.6288311298076923"
"8","0.5262920673076923","0.5262920673076923","0.5262920673076923","0.5645282451923077","0.5645282451923077","0.5645282451923077","0.6124872967479674","0.6124872967479674","0.6124872967479674","0.6424779647435898","0.6424779647435898","0.6424779647435898"
"9","0.5476262019230769","0.5476262019230769","0.5476262019230769","0.5645282451923077","0.5645282451923077","0.5645282451923077","0.6273739202235772","0.6273739202235772","0.6273739202235772","0.6620092147435898","0.6620092147435898","0.6620092147435898"
"10","0.5713641826923077","0.5713641826923077","0.5713641826923077","0.5603215144230769","0.5603215144230769","0.5603215144230769","0.6482469512195123","0.6482469512195123","0.6482469512195123","0.6217197516025641","0.6217197516025641","0.6217197516025641"
"11","0.5857872596153846","0.5857872596153846","0.5857872596153846","0.5681340144230769","0.5681340144230769","0.5681340144230769","0.6568375254065041","0.6568375254065041","0.6568375254065041","0.660381610576923","0.660381610576923","0.660381610576923"
"12","0.5857872596153846","0.5857872596153846","0.5857872596153846","0.5645282451923077","0.5645282451923077","0.5645282451923077","0.6610295985772358","0.6610295985772358","0.6610295985772358","0.6916065705128206","0.6916065705128206","0.6916065705128206"
"13","0.5901442307692308","0.5901442307692308","0.5901442307692308","0.5679086538461539","0.5679086538461539","0.5679086538461539","0.6773056402439025","0.6773056402439025","0.6773056402439025","0.6996945112179488","0.6996945112179488","0.6996945112179488"
"14","0.5905949519230769","0.5905949519230769","0.5905949519230769","0.5700871394230769","0.5700871394230769","0.5700871394230769","0.6799892022357724","0.6799892022357724","0.6799892022357724","0.7120643028846154","0.7120643028846154","0.7120643028846154"
"15","0.5905198317307692","0.5905198317307692","0.5905198317307692","0.5700871394230769","0.5700871394230769","0.5700871394230769","0.6921922637195123","0.6921922637195123","0.6921922637195123","0.7085086137820512","0.7085086137820512","0.7085086137820512"
"16","0.5935997596153846","0.5935997596153846","0.5935997596153846","0.5700871394230769","0.5700871394230769","0.5700871394230769","0.710619918699187","0.710619918699187","0.710619918699187","0.7169471153846154","0.7169471153846154","0.7169471153846154"
"17","0.5954777644230769","0.5954777644230769","0.5954777644230769","0.5710637019230769","0.5710637019230769","0.5710637019230769","0.7068407012195123","0.7068407012195123","0.7068407012195123","0.7169471153846154","0.7169471153846154","0.7169471153846154"
"18","0.5939002403846154","0.5939002403846154","0.5939002403846154","0.5710637019230769","0.5710637019230769","0.5710637019230769","0.7050940040650406","0.7050940040650406","0.7050940040650406","0.7130408653846154","0.7130408653846154","0.7130408653846154"
"19","0.5955528846153846","0.5955528846153846","0.5955528846153846","0.5710637019230769","0.5710637019230769","0.5710637019230769","0.6981310340447154","0.6981310340447154","0.6981310340447154","0.705303485576923","0.705303485576923","0.705303485576923"
"20","0.6023137019230769","0.6023137019230769","0.6023137019230769","0.5730168269230769","0.5730168269230769","0.5730168269230769","0.7280789507113821","0.7280789507113821","0.7280789507113821","0.7182992788461539","0.7182992788461539","0.7182992788461539"
"21","0.6059194711538461","0.6059194711538461","0.6059194711538461","0.5730168269230769","0.5730168269230769","0.5730168269230769","0.7063166920731708","0.7063166920731708","0.7063166920731708","0.7261117788461539","0.7261117788461539","0.7261117788461539"
"22","0.6096754807692308","0.6096754807692308","0.6096754807692308","0.5759465144230769","0.5759465144230769","0.5759465144230769","0.7240536077235772","0.7240536077235772","0.7240536077235772","0.7153695913461539","0.7153695913461539","0.7153695913461539"
"23","0.6159104567307692","0.6159104567307692","0.6159104567307692","0.5759465144230769","0.5759465144230769","0.5759465144230769","0.7316993775406505","0.7316993775406505","0.7316993775406505","0.7254607371794872","0.7254607371794872","0.7254607371794872"
"24","0.6237229567307692","0.6237229567307692","0.6237229567307692","0.5769230769230769","0.5769230769230769","0.5769230769230769","0.7297462525406505","0.7297462525406505","0.7297462525406505","0.6948367387820512","0.6948367387820512","0.6948367387820512"
